,LOCATION,SUBJECT,TIME,Value
129,BEL,TRY,2001,27.626753000000004
130,BEL,TRY,2002,28.134819
131,BEL,TRY,2003,29.031809000000003
132,BEL,TRY,2004,30.400859999999998
133,BEL,TRY,2005,31.045088
134,BEL,TRY,2006,31.754845
135,BEL,TRY,2007,32.094864
136,BEL,TRY,2008,32.310043
137,BEL,TRY,2009,33.397053
138,BEL,TRY,2010,34.989502
139,BEL,TRY,2011,34.612984000000004
140,BEL,TRY,2012,35.316551000000004
141,BEL,TRY,2013,35.535332000000004
142,BEL,TRY,2014,36.855022
143,BEL,TRY,2015,36.857422
144,BEL,TRY,2016,37.503956
145,BEL,TRY,2017,40.257053000000006
146,BEL,TRY,2018,40.638546000000005
147,BEL,TRY,2019,40.67009
148,BEL,UPPSRY,2000,31.438227
149,BEL,UPPSRY,2001,31.836805
150,BEL,UPPSRY,2002,32.668564
151,BEL,UPPSRY,2003,33.016048
152,BEL,UPPSRY,2004,33.8909
153,BEL,UPPSRY,2005,35.051159000000006
154,BEL,UPPSRY,2006,35.187228999999995
155,BEL,UPPSRY,2007,35.858559
156,BEL,UPPSRY,2008,37.26614
157,BEL,UPPSRY,2009,37.175841999999996
158,BEL,UPPSRY,2010,35.51001
159,BEL,UPPSRY,2011,36.653725
160,BEL,UPPSRY,2012,36.32708
161,BEL,UPPSRY,2013,37.223022
162,BEL,UPPSRY,2014,36.695625
163,BEL,UPPSRY,2015,37.819675
164,BEL,UPPSRY,2016,37.59021
165,BEL,UPPSRY,2017,36.540157
166,BEL,UPPSRY,2018,37.588238
167,BEL,UPPSRY,2019,38.016045
168,CAN,BUPPSRY,2000,19.332481
169,CAN,BUPPSRY,2001,18.011751
170,CAN,BUPPSRY,2002,17.321903
171,CAN,BUPPSRY,2003,16.267523
172,CAN,BUPPSRY,2004,15.686501000000002
173,CAN,BUPPSRY,2005,14.816504
174,CAN,BUPPSRY,2006,14.457151999999999
175,CAN,BUPPSRY,2007,13.494848000000001
176,CAN,BUPPSRY,2008,13.003522
177,CAN,BUPPSRY,2009,12.468069
178,CAN,BUPPSRY,2010,11.736887
179,CAN,BUPPSRY,2011,11.368477
180,CAN,BUPPSRY,2012,11.035321000000001
181,CAN,BUPPSRY,2013,10.45779
182,CAN,BUPPSRY,2014,10.011459
183,CAN,BUPPSRY,2015,9.5978909
184,CAN,BUPPSRY,2016,9.3911886
185,CAN,BUPPSRY,2017,8.8729382
186,CAN,BUPPSRY,2018,8.3779144
187,CAN,BUPPSRY,2019,8.1420355
188,CAN,TRY,2000,40.105782
189,CAN,TRY,2001,41.881519
190,CAN,TRY,2002,42.873188
191,CAN,TRY,2003,44.123833000000005
192,CAN,TRY,2004,44.548969
193,CAN,TRY,2005,45.976749
194,CAN,TRY,2006,46.881516
195,CAN,TRY,2007,48.181564
196,CAN,TRY,2008,48.706802
197,CAN,TRY,2009,49.290721999999995
198,CAN,TRY,2010,50.311695
199,CAN,TRY,2011,51.033012
200,CAN,TRY,2012,52.305415999999994
201,CAN,TRY,2013,52.971439000000004
202,CAN,TRY,2014,53.614959999999996
203,CAN,TRY,2015,55.17366
204,CAN,TRY,2016,56.26506800000001
